  Incvisitor|0 15 14 12 14 11 6 4 12 16 12 11 0 15 15 0 16 14
ProgramSnail|8 0 9 15 8 8 13 5 8 7 11 14 0 10 7 0 5 10
     vindast|1 2 0 3 1 2 1 1 1 2 2 5 0 1 2 0 6 3
       POMAH|5 14 8 0 6 9 7 15 11 12 8 15 0 16 11 0 4 11
      SNappy|17 12 16 13 0 17 17 17 14 17 17 17 0 17 16 0 17 13
     aliskda|9 17 12 14 15 0 8 9 7 14 10 8 0 9 5 0 14 5
   AndVolkoV|13 11 7 8 16 12 0 14 13 15 7 12 0 13 17 0 8 15
     Progger|3 3 6 2 2 3 3 0 3 3 3 2 0 4 3 0 3 1
      ahx666|4 5 4 11 10 4 5 2 0 5 6 3 0 3 4 0 2 2
  Ujin McFly|10 7 3 17 7 6 9 6 9 0 13 6 0 6 13 0 7 6
     goodi52|12 9 2 7 12 15 11 10 15 10 0 13 0 14 12 0 10 7
  Filchenkov|14 6 15 9 11 14 16 11 16 9 14 0 0 8 14 0 15 16
   fantomass|6 4 13 16 13 7 12 13 5 6 5 9 0 7 10 0 12 9
     kreagen|15 10 11 6 5 13 14 7 6 4 15 10 0 0 9 0 9 12
   SpikedBug|16 13 1 10 17 16 15 16 17 13 16 16 0 12 0 0 13 17
      Virtex|11 8 10 1 4 5 10 8 4 8 4 7 0 5 6 0 11 4
    sinemual|7 16 17 4 9 10 4 3 10 11 9 4 0 11 8 0 0 8
       Baser|2 1 5 5 3 1 2 12 2 1 1 1 0 2 1 0 1 0
