        Mikle|0 9 8 9 7 10 8 4 5 0 10
      Dampire|6 0 10 8 8 2 6 7 7 0 1
      Madware|10 10 0 10 6 9 9 10 8 0 6
       Лис®©™|3 2 2 0 2 4 4 2 2 0 4
Роман Шувалов|9 6 6 4 0 7 5 5 6 0 8
     nitrajke|8 7 5 6 9 0 10 6 4 0 9
   BingoBongo|7 8 9 7 10 8 0 9 10 0 5
        damik|4 5 3 3 3 3 3 0 9 0 2
 vitoscanelli|5 3 7 5 5 5 7 8 0 0 3
  FordPerfect|2 4 4 2 4 6 2 3 3 0 7
         куку|1 1 1 1 1 1 1 1 1 0 0
