AWPStar|0 20 15 12 13 8 16 25 23 12 26 16 17 16 11 7 20 19 16 20 6 17
CStalker|19 0 25 22 24 16 21 18 20 20 24 23 18 19 13 19 22 18 14 21 25 26 23
Dampire|18 0 17 21 26 21 24 12 21 11 13 14 20 15 20 16 19 17 17 19 16 24 13
Filchenkov|13 0 26 13 22 25 26 22 25 26 18 25 25 7 26 26 24 25 23 19 25 24
Frut|25 16 0 5 26 26 19 10 26 23 22 15 23 15 20 14 23 24 22 15 8 12
glasm|2 1 4 0 1 2 1 8 4 4 9 3 5 8 4 17 10 11 3 12 4 1
G_Sholar|20 19 23 7 0 12 20 13 16 11 10 14 22 26 24 8 13 15 25 13 15 20
immolate|21 23 20 17 25 0 25 19 19 14 19 22 21 12 18 24 25 26 13 26 16 25
Incvisitor|17 24 19 15 9 17 0 11 12 6 1 13 13 1 15 4 12 7 24 21 14 9
kipar|8 8 5 14 2 9 7 0 6 3 5 12 3 21 2 3 4 3 18 10 1 2
Kiriyama|11 14 14 9 14 14 23 18 0 21 12 10 8 25 17 18 14 16 17 6 21 21
Lanc|10 7 11 16 18 10 10 3 13 0 6 4 11 14 12 16 9 6 11 8 10 16
Leonid_|3 2 2 2 3 3 6 1 1 1 0 7 1 2 5 1 2 5 2 4 5 6
Mikle|7 18 18 18 10 13 3 6 10 10 24 0 9 24 14 12 16 22 15 17 17 8
MrShoor|23 22 24 23 19 18 13 23 15 22 13 24 0 19 21 25 22 20 26 14 23 26
NeoGuru|4 6 7 6 5 5 4 2 7 9 7 2 14 0 7 11 7 2 5 11 2 4
nklbdev|26 21 12 22 20 19 21 12 21 19 16 21 18 18 0 23 21 23 14 22 20 18
Panzerschrek[CN]|1 3 1 1 7 1 5 5 2 5 2 5 7 9 1 0 1 4 4 3 7 3
rcsim|5 4 3 3 4 6 2 4 3 2 25 8 2 3 6 2 0 3 12 1 5 13 7
Shiv|16 13 16 21 24 20 15 24 17 18 17 17 20 23 23 20 0 21 20 18 22 19
SimonSn50|24 15 17 20 12 22 22 14 24 16 21 23 24 6 22 21 19 0 12 24 18 10
SNappy|22 26 25 25 15 23 24 9 22 25 20 26 26 17 25 9 26 13 0 23 19 22
Tiranas|12 5 9 4 8 4 14 17 8 7 3 9 6 5 3 10 15 1 9 0 9 5
Valerich|15 12 13 8 6 16 17 26 18 20 15 19 16 10 10 6 11 10 6 1 0 11 15
WOTA|14 11 6 19 17 15 8 7 14 8 11 11 10 4 8 15 8 18 8 7 0 11
Yonnji|6 10 8 10 11 7 9 16 5 17 8 6 12 11 9 5 6 8 7 9 12 0
Zanty|9 9 10 11 23 11 11 15 9 15 4 1 4 22 13 13 5 9 10 2 3 14 0
