     PlusMinus|0 5 5 5 4 5 4 4 0 5 6 6 3 5 4 5 8
           563|1 0 2 3 1 4 5 4 0 3 2 2 2 3 1 5 1
 romanshuvalov|5 6 0 6 5 6 4 7 0 7 7 9 7 8 5 6 8
     alexxxdev|4 3 6 0 7 5 5 6 0 5 7 6 5 6 4 3 1
       kreagen|4 4 4 5 0 4 4 5 0 6 8 10 6 5 6 5 10
           EWF|6 3 4 6 4 0 4 7 0 4 8 5 3 4 2 5 7
           Вий|5 5 9 4 4 3 0 7 0 5 8 4 5 6 4 1 5
emptiness_rain|5 6 5 5 5 6 10 0 0 6 7 8 8 6 4 6 9
      Phoenics|4 6 5 4 4 7 3 6 0 6 9 8 7 7 5 6 1
       ilyakos|3 7 7 6 4 6 4 5 0 0 7 5 4 7 7 7 1
        seaman|2 5 3 5 4 5 3 6 0 5 0 5 3 4 3 5 5
       Vitorio|5 5 5 5 6 4 2 8 0 6 5 0 6 5 1 4 6
     Poupureen|1 2 2 3 5 5 2 4 0 3 3 2 0 4 4 4 1
      CStalker|7 8 7 7 7 8 8 7 0 9 8 7 5 0 3 3 10
      Rotmilll|2 3 6 5 5 4 1 4 0 3 6 5 6 4 0 7 1
